Country Name,"Country Code","Series Name","Series Code","Time","Time Code","Value"
Afghanistan,"AFG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","2018","YR2018","-1.19534700138595"
Afghanistan,"AFG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","2019","YR2019","1.536912103353"
Afghanistan,"AFG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","2020","YR2020","NA"
Afghanistan,"AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2018","YR2018","493.750418116312"
Afghanistan,"AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2019","YR2019","507.103431871987"
Afghanistan,"AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","2020","YR2020","NA"
Afghanistan,"AFG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","2018","YR2018","43.3800010681152"
Afghanistan,"AFG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","2019","YR2019","43.5299987792969"
Afghanistan,"AFG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","2020","YR2020","41.5400009155273"
Afghanistan,"AFG","Multidimensional poverty index (scale 0-1)","SI.POV.MDIM.XQ","2018","YR2018","NA"
Afghanistan,"AFG","Multidimensional poverty index (scale 0-1)","SI.POV.MDIM.XQ","2019","YR2019","NA"
Afghanistan,"AFG","Multidimensional poverty index (scale 0-1)","SI.POV.MDIM.XQ","2020","YR2020","NA"
Afghanistan,"AFG","Multidimensional poverty headcount ratio, household (% of total households)","SI.POV.MDIM.HH","2018","YR2018","NA"
Afghanistan,"AFG","Multidimensional poverty headcount ratio, household (% of total households)","SI.POV.MDIM.HH","2019","YR2019","NA"
Afghanistan,"AFG","Multidimensional poverty headcount ratio, household (% of total households)","SI.POV.MDIM.HH","2020","YR2020","NA"
Afghanistan,"AFG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","2018","YR2018","0.626149149168811"
Afghanistan,"AFG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","2019","YR2019","2.30237251516844"
Afghanistan,"AFG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","2020","YR2020","NA"
Afghanistan,"AFG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","2018","YR2018","2.07134858278808"
Afghanistan,"AFG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","2019","YR2019","6.52147984504097"
Afghanistan,"AFG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","2020","YR2020","NA"
Afghanistan,"AFG","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","2018","YR2018","NA"
Afghanistan,"AFG","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","2019","YR2019","NA"
Afghanistan,"AFG","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","2020","YR2020","NA"
Afghanistan,"AFG","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","2018","YR2018","NA"
Afghanistan,"AFG","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","2019","YR2019","NA"
Afghanistan,"AFG","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","2020","YR2020","NA"
Afghanistan,"AFG","International tourism, number of arrivals","ST.INT.ARVL","2018","YR2018","NA"
Afghanistan,"AFG","International tourism, number of arrivals","ST.INT.ARVL","2019","YR2019","NA"
Afghanistan,"AFG","International tourism, number of arrivals","ST.INT.ARVL","2020","YR2020","NA"
Afghanistan,"AFG","International tourism, number of departures","ST.INT.DPRT","2018","YR2018","NA"
Afghanistan,"AFG","International tourism, number of departures","ST.INT.DPRT","2019","YR2019","NA"
Afghanistan,"AFG","International tourism, number of departures","ST.INT.DPRT","2020","YR2020","NA"
Afghanistan,"AFG","Mobile cellular subscriptions","IT.CEL.SETS","2018","YR2018","21976400"
Afghanistan,"AFG","Mobile cellular subscriptions","IT.CEL.SETS","2019","YR2019","22580100"
Afghanistan,"AFG","Mobile cellular subscriptions","IT.CEL.SETS","2020","YR2020","NA"
Afghanistan,"AFG","Individuals using the Internet (% of population)","IT.NET.USER.ZS","2018","YR2018","13.5"
Afghanistan,"AFG","Individuals using the Internet (% of population)","IT.NET.USER.ZS","2019","YR2019","13.5"
Afghanistan,"AFG","Individuals using the Internet (% of population)","IT.NET.USER.ZS","2020","YR2020","NA"
Afghanistan,"AFG","Population, total","SP.POP.TOTL","2018","YR2018","37172386"
Afghanistan,"AFG","Population, total","SP.POP.TOTL","2019","YR2019","38041754"
Afghanistan,"AFG","Population, total","SP.POP.TOTL","2020","YR2020","NA"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","2018","YR2018","74.505"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","2019","YR2019","74.246"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","2020","YR2020","NA"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","2018","YR2018","25.495"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","2019","YR2019","25.754"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","2020","YR2020","NA"
Afghanistan,"AFG","Population density (people per sq. km of land area)","EN.POP.DNST","2018","YR2018","56.937760009803"
Afghanistan,"AFG","Population density (people per sq. km of land area)","EN.POP.DNST","2019","YR2019","NA"
Afghanistan,"AFG","Population density (people per sq. km of land area)","EN.POP.DNST","2020","YR2020","NA"
Afghanistan,"AFG","Population growth (annual %)","SP.POP.GROW","2018","YR2018","2.38476110022344"
Afghanistan,"AFG","Population growth (annual %)","SP.POP.GROW","2019","YR2019","2.31181721714573"
Afghanistan,"AFG","Population growth (annual %)","SP.POP.GROW","2020","YR2020","NA"
Afghanistan,"AFG","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","2018","YR2018","NA"
Afghanistan,"AFG","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","2019","YR2019","NA"
Afghanistan,"AFG","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","2020","YR2020","NA"
Afghanistan,"AFG","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","2018","YR2018","192.532"
Afghanistan,"AFG","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","2019","YR2019","NA"
Afghanistan,"AFG","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","2020","YR2020","NA"
Afghanistan,"AFG","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","2018","YR2018","237.554"
Afghanistan,"AFG","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","2019","YR2019","NA"
